make,fuel_type,body_style,curb_weight,num_of_cylinders,engine_size,horsepower,city_mpg,highway_mpg,price
alfa-romero,gas,convertible,2548,4,130,111,21,27,13495
alfa-romero,gas,convertible,2548,4,130,111,21,27,16500
alfa-romero,gas,hatchback,2823,6,152,154,19,26,16500
audi,gas,sedan,2337,4,109,102,24,30,13950
audi,gas,sedan,2824,5,136,115,18,22,17450
audi,gas,sedan,2507,5,136,110,19,25,15250
audi,gas,sedan,2844,5,136,110,19,25,17710
audi,gas,wagon,2954,5,136,110,19,25,18920
audi,gas,sedan,3086,5,131,140,17,20,23875
bmw,gas,sedan,2395,4,108,101,23,29,16430
bmw,gas,sedan,2395,4,108,101,23,29,16925
bmw,gas,sedan,2710,6,164,121,21,28,20970
bmw,gas,sedan,2765,6,164,121,21,28,21105
bmw,gas,sedan,3055,6,164,121,20,25,24565
bmw,gas,sedan,3230,6,209,182,16,22,30760
bmw,gas,sedan,3380,6,209,182,16,22,41315
bmw,gas,sedan,3505,6,209,182,15,20,36880
chevrolet,gas,hatchback,1488,3,61,48,47,53,5151
chevrolet,gas,hatchback,1874,4,90,70,38,43,6295
chevrolet,gas,sedan,1909,4,90,70,38,43,6575
dodge,gas,hatchback,1876,4,90,68,37,41,5572
dodge,gas,hatchback,1876,4,90,68,31,38,6377
dodge,gas,hatchback,2128,4,98,102,24,30,7957
dodge,gas,hatchback,1967,4,90,68,31,38,6229
dodge,gas,sedan,1989,4,90,68,31,38,6692
dodge,gas,sedan,1989,4,90,68,31,38,7609
dodge,gas,sedan,2191,4,98,102,24,30,8558
dodge,gas,wagon,2535,4,122,88,24,30,8921
dodge,gas,hatchback,2811,4,156,145,19,24,12964
honda,gas,hatchback,1713,4,92,58,49,54,6479
honda,gas,hatchback,1819,4,92,76,31,38,6855
honda,gas,hatchback,1837,4,79,60,38,42,5399
honda,gas,hatchback,1940,4,92,76,30,34,6529
honda,gas,hatchback,1956,4,92,76,30,34,7129
honda,gas,sedan,2010,4,92,76,30,34,7295
honda,gas,wagon,2024,4,92,76,30,34,7295
honda,gas,hatchback,2236,4,110,86,27,33,7895
honda,gas,hatchback,2289,4,110,86,27,33,9095
honda,gas,sedan,2304,4,110,86,27,33,8845
honda,gas,sedan,2372,4,110,86,27,33,10295
honda,gas,sedan,2465,4,110,101,24,28,12945
honda,gas,sedan,2293,4,110,100,25,31,10345
isuzu,gas,sedan,2337,4,111,78,24,29,6785
isuzu,gas,hatchback,2734,4,119,90,24,29,11048
jaguar,gas,sedan,4066,6,258,176,15,19,32250
jaguar,gas,sedan,4066,6,258,176,15,19,35550
jaguar,gas,sedan,3950,12,326,262,13,17,36000
mazda,gas,hatchback,1890,4,91,68,30,31,5195
mazda,gas,hatchback,1900,4,91,68,31,38,6095
mazda,gas,hatchback,1905,4,91,68,31,38,6795
mazda,gas,sedan,1945,4,91,68,31,38,6695
mazda,gas,sedan,1950,4,91,68,31,38,7395
mazda,gas,hatchback,2380,2,70,101,17,23,10945
mazda,gas,hatchback,2380,2,70,101,17,23,11845
mazda,gas,hatchback,2385,2,70,101,17,23,13645
mazda,gas,hatchback,2500,2,80,135,16,23,15645
mazda,gas,hatchback,2385,4,122,84,26,32,8845
mazda,gas,sedan,2410,4,122,84,26,32,8495
mazda,gas,hatchback,2385,4,122,84,26,32,10595
mazda,gas,sedan,2410,4,122,84,26,32,10245
mazda,diesel,sedan,2443,4,122,64,36,42,10795
mazda,gas,hatchback,2425,4,122,84,26,32,11245
mazda,gas,sedan,2670,4,140,120,19,27,18280
mazda,diesel,sedan,2700,4,134,72,31,39,18344
mercedes-benz,diesel,sedan,3515,5,183,123,22,25,25552
mercedes-benz,diesel,wagon,3750,5,183,123,22,25,28248
mercedes-benz,diesel,hardtop,3495,5,183,123,22,25,28176
mercedes-benz,diesel,sedan,3770,5,183,123,22,25,31600
mercedes-benz,gas,sedan,3740,8,234,155,16,18,34184
mercedes-benz,gas,convertible,3685,8,234,155,16,18,35056
mercedes-benz,gas,sedan,3900,8,308,184,14,16,40960
mercedes-benz,gas,hardtop,3715,8,304,184,14,16,45400
