make,fuel_type,body_style,curb_weight,num_of_cylinders,engine_size,horsepower,city_mpg,highway_mpg,price,mpg
alfa-romero,gas,convertible,2548,4,130,111,21,27,13495,24.0
alfa-romero,gas,convertible,2548,4,130,111,21,27,16500,24.0
alfa-romero,gas,hatchback,2823,6,152,154,19,26,16500,22.5
audi,gas,sedan,2337,4,109,102,24,30,13950,27.0
audi,gas,sedan,2824,5,136,115,18,22,17450,20.0
audi,gas,sedan,2507,5,136,110,19,25,15250,22.0
audi,gas,sedan,2844,5,136,110,19,25,17710,22.0
audi,gas,wagon,2954,5,136,110,19,25,18920,22.0
audi,gas,sedan,3086,5,131,140,17,20,23875,18.5
bmw,gas,sedan,2395,4,108,101,23,29,16430,
bmw,gas,sedan,2395,4,108,101,23,29,16925,26.0
bmw,gas,sedan,2710,6,164,121,21,28,20970,26.0
bmw,gas,sedan,2765,6,164,121,21,28,21105,24.5
bmw,gas,sedan,3055,6,164,121,20,25,24565,24.5
bmw,gas,sedan,3230,6,209,182,16,22,30760,22.5
bmw,gas,sedan,3380,6,209,182,16,22,41315,19.0
bmw,gas,sedan,3505,6,209,182,15,20,36880,19.0
chevrolet,gas,hatchback,1488,3,61,48,47,53,5151,17.5
chevrolet,gas,hatchback,1874,4,90,70,38,43,6295,50.0
chevrolet,gas,sedan,1909,4,90,70,38,43,6575,40.5
dodge,gas,hatchback,1876,4,90,68,37,41,5572,40.5
dodge,gas,hatchback,1876,4,90,68,31,38,6377,39.0
dodge,gas,hatchback,2128,4,98,102,24,30,7957,34.5
dodge,gas,hatchback,1967,4,90,68,31,38,6229,27.0
dodge,gas,sedan,1989,4,90,68,31,38,6692,34.5
dodge,gas,sedan,1989,4,90,68,31,38,7609,34.5
dodge,gas,sedan,2191,4,98,102,24,30,8558,34.5
dodge,gas,wagon,2535,4,122,88,24,30,8921,27.0
dodge,gas,hatchback,2811,4,156,145,19,24,12964,27.0
honda,gas,hatchback,1713,4,92,58,49,54,6479,21.5
honda,gas,hatchback,1819,4,92,76,31,38,6855,51.5
honda,gas,hatchback,1837,4,79,60,38,42,5399,34.5
honda,gas,hatchback,1940,4,92,76,30,34,6529,40.0
honda,gas,hatchback,1956,4,92,76,30,34,7129,32.0
honda,gas,sedan,2010,4,92,76,30,34,7295,32.0
honda,gas,wagon,2024,4,92,76,30,34,7295,32.0
honda,gas,hatchback,2236,4,110,86,27,33,7895,32.0
honda,gas,hatchback,2289,4,110,86,27,33,9095,30.0
honda,gas,sedan,2304,4,110,86,27,33,8845,30.0
honda,gas,sedan,2372,4,110,86,27,33,10295,30.0
honda,gas,sedan,2465,4,110,101,24,28,12945,30.0
honda,gas,sedan,2293,4,110,100,25,31,10345,26.0
isuzu,gas,sedan,2337,4,111,78,24,29,6785,28.0
isuzu,gas,hatchback,2734,4,119,90,24,29,11048,26.5
jaguar,gas,sedan,4066,6,258,176,15,19,32250,
jaguar,gas,sedan,4066,6,258,176,15,19,35550,
jaguar,gas,sedan,3950,12,326,262,13,17,36000,26.5
mazda,gas,hatchback,1890,4,91,68,30,31,5195,17.0
mazda,gas,hatchback,1900,4,91,68,31,38,6095,17.0
mazda,gas,hatchback,1905,4,91,68,31,38,6795,15.0
mazda,gas,sedan,1945,4,91,68,31,38,6695,30.5
mazda,gas,sedan,1950,4,91,68,31,38,7395,34.5
mazda,gas,hatchback,2380,2,70,101,17,23,10945,34.5
mazda,gas,hatchback,2380,2,70,101,17,23,11845,34.5
mazda,gas,hatchback,2385,2,70,101,17,23,13645,34.5
mazda,gas,hatchback,2500,2,80,135,16,23,15645,20.0
mazda,gas,hatchback,2385,4,122,84,26,32,8845,20.0
mazda,gas,sedan,2410,4,122,84,26,32,8495,20.0
mazda,gas,hatchback,2385,4,122,84,26,32,10595,19.5
mazda,gas,sedan,2410,4,122,84,26,32,10245,29.0
mazda,diesel,sedan,2443,4,122,64,36,42,10795,29.0
mazda,gas,hatchback,2425,4,122,84,26,32,11245,29.0
mazda,gas,sedan,2670,4,140,120,19,27,18280,29.0
mazda,diesel,sedan,2700,4,134,72,31,39,18344,39.0
mercedes-benz,diesel,sedan,3515,5,183,123,22,25,25552,29.0
mercedes-benz,diesel,wagon,3750,5,183,123,22,25,28248,23.0
mercedes-benz,diesel,hardtop,3495,5,183,123,22,25,28176,35.0
mercedes-benz,diesel,sedan,3770,5,183,123,22,25,31600,23.5
mercedes-benz,gas,sedan,3740,8,234,155,16,18,34184,23.5
mercedes-benz,gas,convertible,3685,8,234,155,16,18,35056,23.5
mercedes-benz,gas,sedan,3900,8,308,184,14,16,40960,23.5
mercedes-benz,gas,hardtop,3715,8,304,184,14,16,45400,17.0
mercury,gas,hatchback,2910,4,140,175,19,24,16503,17.0
mitsubishi,gas,hatchback,1918,4,92,68,37,41,5389,15.0
mitsubishi,gas,hatchback,1944,4,92,68,31,38,6189,15.0
mitsubishi,gas,hatchback,2004,4,92,68,31,38,6669,21.5
mitsubishi,gas,hatchback,2145,4,98,102,24,30,7689,39.0
mitsubishi,gas,hatchback,2370,4,110,116,23,30,9959,34.5
mitsubishi,gas,hatchback,2328,4,122,88,25,32,8499,34.5
mitsubishi,gas,hatchback,2833,4,156,145,19,24,12629,27.0
mitsubishi,gas,hatchback,2921,4,156,145,19,24,14869,26.5
mitsubishi,gas,hatchback,2926,4,156,145,19,24,14489,28.5
mitsubishi,gas,sedan,2365,4,122,88,25,32,6989,21.5
mitsubishi,gas,sedan,2405,4,122,88,25,32,8189,21.5
mitsubishi,gas,sedan,2403,4,110,116,23,30,9279,21.5
mitsubishi,gas,sedan,2403,4,110,116,23,30,9279,28.5
nissan,gas,sedan,1889,4,97,69,31,37,5499,28.5
nissan,diesel,sedan,2017,4,103,55,45,50,7099,26.5
nissan,gas,sedan,1918,4,97,69,31,37,6649,26.5
nissan,gas,sedan,1938,4,97,69,31,37,6849,34.0
nissan,gas,wagon,2024,4,97,69,31,37,7349,47.5
nissan,gas,sedan,1951,4,97,69,31,37,7299,34.0
nissan,gas,hatchback,2028,4,97,69,31,37,7799,34.0
nissan,gas,sedan,1971,4,97,69,31,37,7499,34.0
nissan,gas,wagon,2037,4,97,69,31,37,7999,34.0
nissan,gas,hardtop,2008,4,97,69,31,37,8249,34.0
nissan,gas,hatchback,2324,4,120,97,27,34,8949,34.0
nissan,gas,sedan,2302,4,120,97,27,34,9549,34.0
nissan,gas,sedan,3095,6,181,152,17,22,13499,34.0
nissan,gas,wagon,3296,6,181,152,17,22,14399,30.5
nissan,gas,sedan,3060,6,181,152,19,25,13499,30.5
nissan,gas,hatchback,3071,6,181,160,19,25,17199,19.5
nissan,gas,hatchback,3139,6,181,200,17,23,19699,19.5
nissan,gas,hatchback,3139,6,181,160,19,25,18399,22.0
