HRYEAR4,GEREG,HEFAMINC,HES1D,HES8B,HESC3,HESC3A,HESH1,HESHF4,HESP6,HESS2,HESS6,HESSH1,HESSH2,HESSH3,HESSH4,HETS2O,HETS6O,HETS8CO,HETS8O,HETS8OU,HETSSHMF2,HETSSHMF3,HRFS12M1,HRFS12M8,HRFS12MC,HRFS12MD,HRFS30D1,HRFS30D2,HRFS30D5,HRFS30D8,HRNUMHOU,PEDISOUT,PEEDUCA,PEMARITL,PESEX,PRCITSHP,PRDISFLG,PRDTIND1,PREMPNOT,PRMJOCC1,PRTAGE,PRWKSTAT,PTDTRACE
2020,3,12,2,2,2,2,-1,-1,-1,3,-1,-1,-1,-1,-1,20,50,-1,70,70,-1,-1,1,1,-1,1,1,1,-1,1,1,2,43,6,1,1,2,51,1,2,29,2,1
2020,3,7,2,2,2,2,3,-1,-1,3,3,-1,-1,-1,-1,-1,-1,-1,0,4,-1,-1,1,1,1,1,1,1,1,1,4,2,41,6,2,1,2,41,1,3,56,2,2
2020,3,7,2,2,2,2,3,-1,-1,3,3,-1,-1,-1,-1,-1,-1,-1,0,4,-1,-1,1,1,1,1,1,1,1,1,4,2,40,6,2,1,2,-1,4,-1,31,1,2
2020,3,7,2,2,2,2,3,-1,-1,3,3,-1,-1,-1,-1,-1,-1,-1,0,4,-1,-1,1,1,1,1,1,1,1,1,4,1,39,4,1,1,1,-1,4,-1,75,1,2
2020,3,7,2,2,2,2,3,-1,-1,3,3,-1,-1,-1,-1,-1,-1,-1,0,4,-1,-1,1,1,1,1,1,1,1,1,4,-1,-1,-1,2,1,-1,-1,-1,-1,0,-1,2
2020,3,14,2,3,2,2,-1,-1,-1,3,-1,-1,-1,-1,-1,150,-1,-1,150,150,-1,-1,1,1,-1,1,1,1,-1,1,1,2,40,3,2,1,2,-1,4,-1,64,1,2
2020,3,7,2,1,2,2,-1,-1,-1,1,-1,2,-1,-1,-1,100,-1,40,110,100,-1,-1,3,4,-1,4,2,3,-1,3,1,1,39,4,2,1,1,-1,4,-1,75,1,1
2020,3,4,2,3,2,2,2,2,2,1,2,1,2,2,2,250,30,-1,30,30,-1,-1,3,4,2,4,3,4,2,4,2,2,39,4,1,1,2,4,2,7,41,11,1
2020,3,4,2,3,2,2,2,2,2,1,2,1,2,2,2,250,30,-1,30,30,-1,-1,3,4,2,4,3,4,2,4,2,-1,-1,-1,1,1,-1,-1,-1,-1,14,-1,1
2020,3,4,2,-1,2,1,-1,-1,-1,3,-1,-1,-1,-1,-1,200,-2,-1,290,-2,-1,-1,1,1,-1,1,1,1,-1,1,2,2,39,1,1,1,1,-1,4,-1,70,1,1
2020,3,4,2,-1,2,1,-1,-1,-1,3,-1,-1,-1,-1,-1,200,-2,-1,290,-2,-1,-1,1,1,-1,1,1,1,-1,1,2,1,39,1,2,1,1,-1,4,-1,67,1,1
2020,3,8,2,2,2,1,-1,-1,-1,3,-1,-1,-1,-1,-1,60,-1,-1,30,100,-1,-1,1,2,-1,2,1,1,-1,1,2,2,40,6,1,1,2,14,1,9,20,2,1
2020,3,8,2,2,2,1,-1,-1,-1,3,-1,-1,-1,-1,-1,60,-1,-1,30,100,-1,-1,1,2,-1,2,1,1,-1,1,2,1,39,6,2,1,1,10,2,9,21,11,1
2020,3,9,2,1,1,-1,-1,-1,-1,1,-1,2,-1,-1,-1,-1,30,20,50,30,-1,-1,2,3,-1,3,2,3,-1,3,2,2,39,6,1,1,2,38,2,3,22,11,2
2020,3,9,2,1,1,-1,-1,-1,-1,1,-1,2,-1,-1,-1,-1,30,20,50,30,-1,-1,2,3,-1,3,2,3,-1,3,2,2,39,6,1,1,2,-1,4,-1,30,1,2
2020,3,2,1,3,2,-3,-1,-1,-1,3,-1,-1,-1,-1,-1,150,30,-1,250,150,-1,-1,1,1,-1,1,1,1,-1,1,3,2,39,1,1,1,2,4,1,10,52,2,2
2020,3,2,1,3,2,-3,-1,-1,-1,3,-1,-1,-1,-1,-1,150,30,-1,250,150,-1,-1,1,1,-1,1,1,1,-1,1,3,2,39,1,2,1,2,41,1,2,38,2,2
2020,3,2,1,3,2,-3,-1,-1,-1,3,-1,-1,-1,-1,-1,150,30,-1,250,150,-1,-1,1,1,-1,1,1,1,-1,1,3,2,39,6,2,1,2,-1,4,-1,28,1,2
2020,3,11,2,1,1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,120,20,50,130,130,-1,-1,1,2,-1,2,1,2,-1,2,3,2,39,1,1,1,2,7,1,9,60,2,2
2020,3,11,2,1,1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,120,20,50,130,130,-1,-1,1,2,-1,2,1,2,-1,2,3,2,39,1,2,1,1,-1,4,-1,62,1,2
2020,3,11,2,1,1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,120,20,50,130,130,-1,-1,1,2,-1,2,1,2,-1,2,3,2,39,6,1,1,1,46,1,3,34,2,2
2020,3,1,2,3,2,1,3,-1,1,3,3,-1,2,2,2,150,-1,-1,140,140,-1,-1,1,1,1,2,1,1,1,1,3,2,39,6,2,1,2,23,2,9,38,11,1
2020,3,1,2,3,2,1,3,-1,1,3,3,-1,2,2,2,150,-1,-1,140,140,-1,-1,1,1,1,2,1,1,1,1,3,2,39,6,1,1,2,23,2,9,57,11,1
2020,3,1,2,3,2,1,3,-1,1,3,3,-1,2,2,2,150,-1,-1,140,140,-1,-1,1,1,1,2,1,1,1,1,3,2,37,6,2,1,2,-1,4,-1,17,1,1
2020,3,3,2,3,2,1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,0,50,-1,-1,1,1,-1,1,1,1,-1,1,1,2,37,6,1,1,2,1,1,6,42,2,1
2020,3,9,2,-1,2,-2,3,-1,1,1,3,2,2,2,2,200,-1,-1,200,-2,-1,-1,2,3,1,3,1,2,1,2,4,2,39,6,2,1,2,22,2,5,23,11,2
2020,3,9,2,-1,2,-2,3,-1,1,1,3,2,2,2,2,200,-1,-1,200,-2,-1,-1,2,3,1,3,1,2,1,2,4,-1,-1,-1,2,1,-1,-1,-1,-1,7,-1,2
2020,3,9,2,-1,2,-2,3,-1,1,1,3,2,2,2,2,200,-1,-1,200,-2,-1,-1,2,3,1,3,1,2,1,2,4,-1,-1,-1,2,1,-1,-1,-1,-1,4,-1,2
2020,3,9,2,-1,2,-2,3,-1,1,1,3,2,2,2,2,200,-1,-1,200,-2,-1,-1,2,3,1,3,1,2,1,2,4,-1,-1,-1,2,1,-1,-1,-1,-1,1,-1,2
2020,3,14,2,3,2,1,-1,1,-1,1,-1,1,-1,-1,-1,350,20,-1,380,380,-1,-1,3,4,-1,4,3,4,-1,4,2,2,42,1,2,1,2,-1,4,-1,53,1,2
2020,3,14,2,3,2,1,-1,1,-1,1,-1,1,-1,-1,-1,350,20,-1,380,380,-1,-1,3,4,-1,4,3,4,-1,4,2,2,39,1,1,1,2,23,1,8,60,2,2
2020,3,15,2,2,2,1,3,-1,-1,3,3,2,-1,-1,-1,200,30,-1,170,400,-1,-1,1,2,1,2,1,1,1,1,5,2,37,6,2,1,2,46,1,3,41,2,2
2020,3,15,2,2,2,1,3,-1,-1,3,3,2,-1,-1,-1,200,30,-1,170,400,-1,-1,1,2,1,2,1,1,1,1,5,2,39,6,2,1,2,46,1,3,23,2,2
2020,3,15,2,2,2,1,3,-1,-1,3,3,2,-1,-1,-1,200,30,-1,170,400,-1,-1,1,2,1,2,1,1,1,1,5,2,39,6,1,1,2,23,1,10,21,2,2
2020,3,15,2,2,2,1,3,-1,-1,3,3,2,-1,-1,-1,200,30,-1,170,400,-1,-1,1,2,1,2,1,1,1,1,5,2,39,6,1,1,2,22,1,5,19,2,2
2020,3,15,2,2,2,1,3,-1,-1,3,3,2,-1,-1,-1,200,30,-1,170,400,-1,-1,1,2,1,2,1,1,1,1,5,-1,-1,-1,2,1,-1,-1,-1,-1,2,-1,2
2020,3,7,2,3,1,-1,3,-1,2,2,2,2,2,2,2,40,-1,-1,40,60,-1,-1,2,3,2,3,1,1,1,1,2,2,39,5,2,1,2,10,1,9,40,2,2
2020,3,7,2,3,1,-1,3,-1,2,2,2,2,2,2,2,40,-1,-1,40,60,-1,-1,2,3,2,3,1,1,1,1,2,-1,-1,-1,2,1,-1,-1,-1,-1,13,-1,2
2020,3,7,2,3,2,1,-1,-1,-1,3,-1,-1,-1,-1,-1,60,-1,-1,60,70,-1,-1,1,1,-1,1,1,1,-1,1,1,2,43,3,2,1,1,-1,4,-1,76,1,2
2020,3,4,2,3,2,2,-1,-1,-1,3,-1,-1,-1,-1,-1,20,20,-1,60,60,-1,-1,1,1,-1,1,1,1,-1,1,2,2,39,6,1,1,2,4,1,7,23,7,1
2020,3,4,2,3,2,2,-1,-1,-1,3,-1,-1,-1,-1,-1,20,20,-1,60,60,-1,-1,1,1,-1,1,1,1,-1,1,2,2,40,4,2,1,2,42,1,2,55,2,1
2020,3,11,2,2,2,2,-1,-1,-1,3,-1,-1,-1,-1,-1,270,40,-1,240,200,-1,-1,1,1,-1,1,1,1,-1,1,2,2,39,1,2,1,2,23,2,9,53,11,1
2020,3,11,2,2,2,2,-1,-1,-1,3,-1,-1,-1,-1,-1,270,40,-1,240,200,-1,-1,1,1,-1,1,1,1,-1,1,2,2,39,1,1,1,2,23,1,10,56,2,1
2020,3,14,2,3,2,1,3,-1,1,3,2,2,2,2,2,250,20,-1,250,250,-1,-1,2,4,1,3,2,3,1,3,5,2,39,1,2,1,2,-1,4,-1,46,1,1
2020,3,14,2,3,2,1,3,-1,1,3,2,2,2,2,2,250,20,-1,250,250,-1,-1,2,4,1,3,2,3,1,3,5,2,39,1,1,1,2,6,1,1,51,2,1
2020,3,14,2,3,2,1,3,-1,1,3,2,2,2,2,2,250,20,-1,250,250,-1,-1,2,4,1,3,2,3,1,3,5,-1,-1,-1,1,1,-1,-1,-1,-1,12,-1,1
2020,3,14,2,3,2,1,3,-1,1,3,2,2,2,2,2,250,20,-1,250,250,-1,-1,2,4,1,3,2,3,1,3,5,-1,-1,-1,1,1,-1,-1,-1,-1,8,-1,1
2020,3,14,2,3,2,1,3,-1,1,3,2,2,2,2,2,250,20,-1,250,250,-1,-1,2,4,1,3,2,3,1,3,5,2,39,6,1,1,2,-1,4,-1,23,1,1
2020,3,1,2,2,2,2,-1,-1,-1,3,-1,-1,-1,-1,-1,180,-1,-1,160,200,-1,-1,1,1,-1,1,1,1,-1,1,1,2,39,4,1,1,2,6,1,7,49,5,1
2020,3,1,2,3,2,2,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,1,-1,1,1,1,-1,1,1,1,39,6,1,1,1,-1,4,-1,52,1,1
2020,1,7,2,3,2,-2,3,-1,2,2,2,2,2,2,2,300,-1,-1,350,400,-1,-1,2,3,2,3,3,4,2,4,6,2,33,6,1,5,2,38,1,3,34,3,1
2020,1,7,2,3,2,-2,3,-1,2,2,2,2,2,2,2,300,-1,-1,350,400,-1,-1,2,3,2,3,3,4,2,4,6,2,39,6,2,5,2,46,1,3,34,2,1
2020,1,7,2,3,2,-2,3,-1,2,2,2,2,2,2,2,300,-1,-1,350,400,-1,-1,2,3,2,3,3,4,2,4,6,-1,-1,-1,1,1,-1,-1,-1,-1,14,-1,1
